#NWS FLOOD STAGES with USGS ID'S
#Tediously Assembled By: Warren Pettee (Github: WEP11, Twitter: @wpettee)
#Probably by no means complete?

NWS ID, USGS ID, Action, Minor, Moderate, Major, Stage Units, Site Name, State
IKAA2, 15746991,nan,nan,nan,nan,ft,Red Dog Mine,AK
HULA2, 15980000,nan,nan,nan,nan,nan,Kaktovik,AK
HNRA2, 15518040,14,nan,nan,nan,ft,Healy,AK
HCRA2, 15457800,nan,nan,nan,nan,nan,Livengood,AK
GYRA2, 15564860,119,124,126,128,ft,Galena,AK
GRSA2, 15200280,9.5,11,12,nan,ft,Sourdough,AK
GROA2, 15237730,7,8,9,nan,ft,Grouse Creek,AK
GOVA2, 15058700,nan,nan,nan,nan,ft,Ketchikan,AK
GLSA2, 15457790,nan,nan,nan,nan,nan,Livengood,AK
GCSA2, 15292000,12.5,14,15.5,nan,ft,Gold Creek,AK
GCOA2, 15215900,nan,nan,nan,nan,ft,Cordova,AK
GBDA2, 15477740,nan,nan,nan,nan,nan,Big Delta,AK
FMRA2, 15348000,nan,nan,nan,nan,nan,Fortymile River at Taylor Hwy,AK
FCKA2, 15072000,4,4.5,5,nan,ft,Ketchikan,AK
FCCA2, 15502000,nan,nan,nan,nan,ft,Chatanika,AK
ENNA2, 15515500,11,12.5,14.5,16,ft,Nenana,AK
EKLA2, 15278000,nan,nan,nan,nan,ft,Eklutna,AK
ECHA2, 15515080,nan,nan,nan,nan,nan,Healy,AK
DCKA2, 15743850,nan,nan,nan,nan,ft,Kobuk,AK
CRUA2, 15875000,nan,nan,nan,nan,nan,Umiat,AK
CRNA2, 15470000,12,12.5,nan,nan,ft,Northway Road Bridge,AK
CRHA2, 15493400,15.2,17.2,nan,nan,ft,Hunts Creek,AK
COOA2, 15258000,12,13,15.5,16.5,ft,Cooper Landing,AK
COCA2, 15261000,13,14,15,16,ft,mouth near Cooper Landing,AK
CLTA2, 15292400,nan,nan,nan,nan,nan,Talkeetna,AK
CKTA2, 15056500,127,128,129,130.5,ft,Klukwan,AK
CKDA2, 15304010,nan,nan,nan,nan,ft,Airport Rd Bridge,AK
CJXA2, 15304000,15,19,nan,nan,ft,Crooked Creek,AK
CHRA2, 15275100,3.3,4,5,6,ft,Arctic Blvd,AK
CHLA2, 15511000,21,25,26,32,ft,Chena Hot Springs Road,AK
CHFA2, 15514000,11,12,14,16,ft,Fairbanks,AK
CCSA2, 15274600,19.5,20.5,22.5,nan,ft,Dimond,AK
BRUA2, 15238990,nan,nan,nan,nan,ft,Homer,AK
BRTA2, 15239070,nan,nan,nan,nan,ft,Homer,AK
BRMA2, 15239050,nan,nan,nan,nan,ft,Homer,AK
BRKA2, 15300100,nan,nan,nan,nan,nan,Iliamna,AK
BGDA2, 15478000,22,23,25,27,ft,Big Delta,AK
BCTA2, 15392000,nan,nan,nan,nan,nan,12 Mile Creek,AK
ARGA2, 15905100,nan,nan,nan,nan,nan,Galbraith Lake,AK
APTA2, 15239900,7,8,9,11,ft,New Sterling Hwy,AK
ALEA2, 15129120,nan,nan,nan,nan,ft,Dry Bay,AK
ABLA2, 15744000,41,42.5,45,49,ft,Ambler,AK
AAKA2, 15055500,32.5,33.5,34.5,nan,ft,Auke Bay,AK
WWDA3, 09537500,15,nan,nan,nan,ft,Douglas,AZ
WVAA3, 09502800,nan,nan,nan,nan,ft,Paulden,AZ
WKPA3, 09424450,12,16,17,18,ft,Wikieup,AZ
WDRA3, 09394500,nan,20.5,26,35,ft,Woodruff,AZ
WCLA3, 09505800,nan,nan,nan,nan,ft,Camp Verde,AZ
WBVA3, 09505200,nan,nan,nan,nan,ft,Rimrock,AZ
VNLA3, 09413700,nan,nan,nan,nan,ft,Narrows,AZ
VLTA3, 09415000,nan,16.9,18.9,19.7,ft,Littlefield,AZ
VDTA3, 09508500,nan,nan,nan,nan,ft,Horseshoe Dam,AZ
VDPA3, 09503700,nan,13,15,18,ft,Paulden,AZ
VDCA3, 09504000,10,14,18,24,ft,Clarkdale,AZ
VCVA3, 09506000,nan,nan,nan,nan,ft,Camp Verde,AZ
UPBA3, 09471380,9,nan,nan,nan,ft,Huachuca City,AZ
TWVA3, 09404343,nan,nan,nan,nan,ft,Valentine,AZ
TVCA3, 09484500,13,nan,nan,nan,ft,Sabino Canyon Rd.,AZ
TSCA3, 09482500,9,11,13,15,ft,Congress Street,AZ
TNRA3, 09499000,14.5,16,20,21,ft,Roosevelt,AZ
SYCA3, 09510200,13.5,17,19,21,ft,Ft McDowell,AZ
SUPA3, 09404110,nan,17,20,22,ft,Supai,AZ
STBA3, 09481740,26,28,29,32,ft,Tubac,AZ
SPTA3, 09471550,13,15,17,19,ft,Tombstone,AZ
SPRA3, 09472050,12.4,14.5,16.5,19,ft,Redington,AZ
SPPA3, 09470500,15,16,17,18,ft,Palominas,AZ
SNCA3, 09468500,10,11,12,13,ft,Peridot,AZ
SMBA3, 09424900,10,11,12,13,ft,Bagdad,AZ
SLRA3, 09498500,24,30,34,36,ft,Roosevelt,AZ
SLPA3, 09512165,7,16,18,20,ft,Priest Road-Tempe,AZ
SLCA3, 09497500,15,18,23,27,ft,Chrysotile -Salt River Canyon,AZ
SFCA3, 09444500,22,24,26,28,ft,Clifton,AZ
SCTA3, 09486520,14,16,18,20,ft,Trico Road,AZ
SCNA3, 09480500,9,nan,nan,nan,ft,Nogales,AZ
SCCA3, 09482000,11,14,15,16,ft,Green Valley,AZ
SBCA3, 09484000,2.5,3,5.5,6.5,ft,Sabino Dam,AZ
SAPA3, 09471000,11.5,nan,nan,nan,ft,Charleston,AZ
RINA3, 09485000,5.5,nan,nan,nan,ft,Rincon Creek,AZ
RILA3, 09485700,12.5,13.4,14,15,ft,Dodge Boulevard,AZ
RICA3, 09486055,12.3,nan,nan,nan,ft,La Cholla,AZ
PWBA3, 09485450,15,nan,nan,nan,ft,Broadway Blvd,AZ
PUCA3, 09396100,nan,18,20,29,ft,Chambers,AZ
